,question,answer
14,3 歳児児 健 診 で 尿 が 取れ ませ ん 。,3 歳児 健 診 で 尿 が 取れ ない 場合 でも 、 健 診 後 、 4 歳 に なる 前日 まで に 健 診 受付 時間 内 に 、 尿 を お 持ち いただけれ ば 追加 で 検査 でき ます 。 お子さん の 成長 に 合わせ て お 持ち ください 。 また 、 健 診 の 朝 の 尿 が 難しい 場合 は 、 健 診 会場 で お 取り いただく こと も でき ます 。
15,5 才 の 息子 が 最近 怒り っぽ く なっ て しまい まし た 。,ご 心配 です ね 。 赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
16,5 才 の 息子 が 最近 怒り っぽ く なっ て しまい まし た 。,ご 心配 です ね 。 赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
17,5 才 の 息子 が 最近 怒り っぽ く なっ て しまい まし た 。,ご 心配 です ね 。 赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
18,7 ・ 7 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
19,7 ・ 7 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
20,7 ・ 7 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
21,ADHD について 教え て ください 。,ADHD は Attention Deficit Hyperactivity Disorder の 略 で 、 発達 段階 に 不 釣り合い な 注意 力 や 衝動 性 、 多 動 性 を 特徴 と する 神経 発達 症 もしくは 行動 障害 です 。 お子さん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
22,ADHD について 教え て ください 。,ADHD は Attention Deficit Hyperactivity Disorder の 略 で 、 発達 段階 に 不 釣り合い な 注意 力 や 衝動 性 、 多 動 性 を 特徴 と する 神経 発達 症 もしくは 行動 障害 です 。 お子さん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
23,ADHD について 教え て ください 。,ADHD は Attention Deficit Hyperactivity Disorder の 略 で 、 発達 段階 に 不 釣り合い な 注意 力 や 衝動 性 、 多 動 性 を 特徴 と する 神経 発達 症 もしくは 行動 障害 です 。 お子さん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
24,BCG と は 何 です か ?,BCG と は 結核 を 予防 する ワクチン の 通称 です 。 生後 5 か月 から 7 か月 ( 生後 1 歳 に 至る まで ) の 間 に 接種 する こと と なっ て い ます 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
25,BCG と は 何 です か ?,BCG と は 結核 を 予防 する ワクチン の 通称 です 。 生後 5 か月 から 7 か月 ( 生後 1 歳 に 至る まで ) の 間 に 接種 する こと と なっ て い ます 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
26,BCG と は 何 です か ?,BCG と は 結核 を 予防 する ワクチン の 通称 です 。 生後 5 か月 から 7 か月 ( 生後 1 歳 に 至る まで ) の 間 に 接種 する こと と なっ て い ます 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
27,( 自治体 ) は どこ に 相談 すれ ば いい です か ?,LGBT と は セクシャル・マイノリティ 、 性的 少数 者 を 表す 総称 です 。 L ( レズビアン ) は 同性 を 好き に なる 女性 G ( ゲイ ) は 同性 を 好き に なる 男性 B ( バイセクシュアル ) は 性別 に かかわら ず 恋愛 対象 に なる 人 T ( トランスジェンダー ) は 身体 的 な 性別 と 自認 する 性 が 一致 し ない ( 性 別 違和 ) 人 。 性 同一 性 障害 の 人 が 含ま れ ます 。 性 分化 疾患 ( DSD ) など も あり 、 実は から だ の 性 も 単純 に は 二 分 でき ませ ん 。 SOGI ( ソギ ) と 略さ れる 場合 が 増え て い ます 。 SO = Sexual Orientation ( 性 的 指向 ) GI = Gender Identity ( 性 自認 )
28,( 自治体 ) は どこ に 相談 すれ ば いい です か ?,LGBT と は セクシャル・マイノリティ 、 性的 少数 者 を 表す 総称 です 。 L ( レズビアン ) は 同性 を 好き に なる 女性 G ( ゲイ ) は 同性 を 好き に なる 男性 B ( バイセクシュアル ) は 性別 に かかわら ず 恋愛 対象 に なる 人 T ( トランスジェンダー ) は 身体 的 な 性別 と 自認 する 性 が 一致 し ない ( 性 別 違和 ) 人 。 性 同一 性 障害 の 人 が 含ま れ ます 。 性 分化 疾患 ( DSD ) など も あり 、 実は から だ の 性 も 単純 に は 二 分 でき ませ ん 。 SOGI ( ソギ ) と 略さ れる 場合 が 増え て い ます 。 SO = Sexual Orientation ( 性 的 指向 ) GI = Gender Identity ( 性 自認 )
29,( 自治体 ) は どこ に 相談 すれ ば いい です か ?,LGBT と は セクシャル・マイノリティ 、 性的 少数 者 を 表す 総称 です 。 L ( レズビアン ) は 同性 を 好き に なる 女性 G ( ゲイ ) は 同性 を 好き に なる 男性 B ( バイセクシュアル ) は 性別 に かかわら ず 恋愛 対象 に なる 人 T ( トランスジェンダー ) は 身体 的 な 性別 と 自認 する 性 が 一致 し ない ( 性 別 違和 ) 人 。 性 同一 性 障害 の 人 が 含ま れ ます 。 性 分化 疾患 ( DSD ) など も あり 、 実は から だ の 性 も 単純 に は 二 分 でき ませ ん 。 SOGI ( ソギ ) と 略さ れる 場合 が 増え て い ます 。 SO = Sexual Orientation ( 性 的 指向 ) GI = Gender Identity ( 性 自認 )
30,QR コード を 教え て ください 。,○ ○ 市 LINE 公式 アカウント の QR コード は こちら に なり ます 。 ( QR コード を 表示 する URL )
31,QR コード を 教え て ください 。,○ ○ 市 LINE 公式 アカウント の QR コード は こちら に なり ます 。 ( QR コード を 表示 する URL )
32,QR コード を 教え て ください 。,○ ○ 市 LINE 公式 アカウント の QR コード は こちら に なり ます 。 ( QR コード を 表示 する URL )
33,○ ○ 市 は いつ でき た の ?,( 自治体 成立 の 経緯 を 記載 し て ください 。 ) 例 「 ○ ○ 市 は 、 昭和 ○ 年 ○ 月 ○ 日 、 ○ ○ 町 、 ○ ○ 町 、 ○ ○ 町 が 合併 し て 成立 し まし た 。 」
34,出生 届 は 誰 に 届出 すれ ば いい です か ?,出生 届 は 出生 の 日 から 14 日 以内 ( 初日 算入 ) に 届出 を し て ください 。 ( 最終 日 が 閉庁 日 に あたる とき は 翌 開 庁 日 まで です ) [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
35,出生 届 は 誰 に 届出 すれ ば いい です か ?,出生 届 は 出生 の 日 から 14 日 以内 ( 初日 算入 ) に 届出 を し て ください 。 ( 最終 日 が 閉庁 日 に あたる とき は 翌 開 庁 日 まで です ) [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
36,どう し たら 早く ね て くれる の でしょ う か ?,保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
37,予防 保健 相談 所 は どこ です か ?,保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
38,予防 保健 相談 所 は どこ です か ?,保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
39,がん 検 診 について 教え て ください 。,がん 検診 に は 「 がん 一 次 検診 」 と 「 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 」 の 2 種類 が あり ます 。 対象 者 に は クーポン 券 ・ 検診 の お知らせ など を 送付 し ます 。 40 歳 以上 の 対象 者 に は 複数 の クーポン 券 が 届く こと が あり ます 。 [UNK] がん 一 次 検診 ( 自治体 HP 内 関連 ページ の URL ) [UNK] 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 ( 自治体 HP 内 関連 ページ の URL )
40,がん 検 診 について 教え て ください 。,がん 検診 に は 「 がん 一 次 検診 」 と 「 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 」 の 2 種類 が あり ます 。 対象 者 に は クーポン 券 ・ 検診 の お知らせ など を 送付 し ます 。 40 歳 以上 の 対象 者 に は 複数 の クーポン 券 が 届く こと が あり ます 。 [UNK] がん 一 次 検診 ( 自治体 HP 内 関連 ページ の URL ) [UNK] 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 ( 自治体 HP 内 関連 ページ の URL )
41,がん 検 診 について 教え て ください 。,がん 検診 に は 「 がん 一 次 検診 」 と 「 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 」 の 2 種類 が あり ます 。 対象 者 に は クーポン 券 ・ 検診 の お知らせ など を 送付 し ます 。 40 歳 以上 の 対象 者 に は 複数 の クーポン 券 が 届く こと が あり ます 。 [UNK] がん 一 次 検診 ( 自治体 HP 内 関連 ページ の URL ) [UNK] 新た な ステージ に 入っ た がん 検診 の 総合 支援 事業 ( 自治体 HP 内 関連 ページ の URL )
42,産後 の後 を 聞い て しまい まし た 。,○ ○ 市 の 産前 産後 の サービス は 、 ( 東京 都 における 「 母子 保健 バッグ 」 等 、 自治体 が 妊婦 等 に対して 交付 し て いる もの ) を ご覧 ください 。 出産 休暇 について は お 勤め先 に お 問い合わせ ください 。 出産 一 時 金 について は 、 加入 し て いる 健康 保険 組合 等 に お 問い合わせ ください 。
43,産後 の こと が でき ませ ん 。,( アカウント が 行う こと の できる 内容 を 記載 し て ください 。 ) 例 「 アンケート に 回答 いただい た 方 に 、 お子様 の 年齢 に 合わせ て 健 診 や 予防 接種 の 情報 を 配信 し たり 、 妊婦 の 方 向け の サービス の 情報 や 保育園 の 入園 に関する 情報 、 子ども に関する イベント 情報 等 を 配信 し て い ます 。 また 、 子育て に関する 個別 の お 問い合わせ に AI が 自動 応答 で お答え し て い ます 。 」
44,うち の 子 が 言う こと 聞い て くれ ない 。,ご 心配 です ね 。 赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 まずは 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
45,こども 食堂 は やっ て い ます か ?,( 自治体 における 子ども 食堂 の 実施 状況 を 記載 し て ください 。 ) [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
46,こども 食堂 は やっ て い ます か ?,( 自治体 における 子ども 食堂 の 実施 状況 を 記載 し て ください 。 ) [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
47,こども 食堂 は やっ て い ます か ?,( 自治体 における 子ども 食堂 の 実施 状況 を 記載 し て ください 。 ) [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
48,ごみ の 日 を 教え て ください 。,○ ○ は × × ごみ です 。 ( 必要 に 応じ て 、 ごみ を 出す にあたって の 留意 事項 等 を 追加 し て ください 。 ) 詳しく は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) ごみ の 収集 日 は 地域 によって 異なり ます 。 詳しく は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) ごみ の 出し 方 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) 粗大ごみ について は 、 ( 電話 や ホームページ 等 の 受付 方法 を 記載 し て ください )。 [UNK] 自治体 の 粗大ごみ 受付 センター 等 ) ( 当該 センター 等 の URL )
49,ごみ の 分 方 が よく ごみ 方 を 教え て ください 。,ごみ の 分別 について 、 よく 質問 さ れる 品目 の 一覧 は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) 特定 の 品目 について お 知り に なり たい 場合 は 品目 名 を 教え て ください 。
50,ごみ の 日 を 教え て ください 。,○ ○ は × × ごみ です 。 ( 必要 に 応じ て 、 ごみ を 出す にあたって の 留意 事項 等 を 追加 し て ください 。 ) 詳しく は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) ごみ の 収集 日 は 地域 によって 異なり ます 。 詳しく は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
51,( 当地 当地 グルメ 等 ) について 教え て ください 。,( ご 当地 グルメ 等 の 説明 を 記載 し て ください 。 )
52,( 当地 当地 グルメ 等 ) について 教え て ください 。,( ご 当地 グルメ 等 の 説明 を 記載 し て ください 。 )
53,( 当地 当地 グルメ 等 ) について 教え て ください 。,( ご 当地 グルメ 等 の 説明 を 記載 し て ください 。 )
54,入院 時 の 食事 療養 費 を 払っ た とき は 払い 取 れ ます か ?,入院 時 の 食事 療養 費 の 自己 負担 分 ( 子ども の 医療 費 ) は 、 ○ ○ 市 へ 払い戻し の 申請 を し て ください 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
55,入院 時 の 食事 療養 費 を 払っ た とき は 払い 取 れ ます か ?,入院 時 の 食事 療養 費 の 自己 負担 分 ( 子ども の 医療 費 ) は 、 ○ ○ 市 へ 払い戻し の 申請 を し て ください 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
56,入院 時 の 食事 療養 費 を 払っ た とき は 払い 取 れ ます か ?,入院 時 の 食事 療養 費 の 自己 負担 分 ( 子ども の 医療 費 ) は 、 ○ ○ 市 へ 払い戻し の 申請 を し て ください 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL ) < 問い合わせ > < 病気 > ご 心配 です ね 。 一般 的 な お 問い合わせ は 、 保健所 ・ 保健 相談 所 に お 電話 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) 治療 に関して は 、 医療 機関 へ の 受診 を お 勧め し ます 。 [UNK] 医療 機関 の 検索 は こちら ( 都道府県 や 医師 会 が 提供 する 医療 機関 案内 等 の URL )
57,学童 の 放課後 ところ は あり ます か ?,放課後 は 、 AAA ( 参考 URL )、 BBB ( 参考 URL ) で 遊べ ます 。
58,学童 の 放課後 ところ は あり ます か ?,放課後 は 、 AAA ( 参考 URL )、 BBB ( 参考 URL ) で 遊べ ます 。
59,学童 の 放課後 ところ は あり ます か ?,放課後 は 、 AAA ( 参考 URL )、 BBB ( 参考 URL ) で 遊べ ます 。
60,一時 集合 場所 は どこ です か ?,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。 [UNK] 契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL )
61,一時 集合 場所 は どこ です か ?,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。 [UNK] 契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL )
62,一時 集合 場所 は どこ です か ?,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。 [UNK] 契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL )
63,( 乳児 健 診 の 予防 接種 を 打つ べき 場所 を 教え て ください 。,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。 [UNK] 契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL ) < 予防 接種 > 予防 接種 は 、 ( 接種 場所 を 記載 し て ください 。 例 「 契約 医療 機関 」 ) で 受け られ ます 。 [UNK] 接種 場所 。 例 「 契約 医療 機関 」 ) ( 自治体 HP 内 関連 ページ の URL ) [UNK] お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
64,予防 接種 を 打つ べき 場所 を 教え て ください 。,予防 接種 は 、 ( 接種 場所 を 記載 し て ください 。 例 「 契約 医療 機関 」 ) で 受け られ ます 。 [UNK] 接種 場所 。 例 「 契約 医療 機関 」 ) ( 自治体 HP 内 関連 ページ の URL ) [UNK] お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 ) < 公園 > < 分 園 > < 禁煙 > ○ ○ 市 で は 園内 の 受動 喫煙 防止 対策 として 分煙 環境 を 整備 する ため 、 市立 公園 ○ か所 を 、 禁煙 公園 または 分煙 公園 に 指定 し て い ます 。 [UNK] 禁煙 公園 ・ 分 園 公園 一覧 ( 自治体 HP 内 関連 ページ の URL )
65,予防 接種 を 打つ べき 場所 を 教え て ください 。,予防 接種 は 、 ( 接種 場所 を 記載 し て ください 。 例 「 契約 医療 機関 」 ) で 受け られ ます 。 [UNK] 接種 場所 。 例 「 契約 医療 機関 」 ) ( 自治体 HP 内 関連 ページ の URL ) [UNK] お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
66,○ ○ 市 の 禁煙 公園 について 教え て ください 。,○ ○ 市 で は 園内 の 受動 喫煙 防止 対策 として 分煙 環境 を 整備 する ため 、 市立 公園 ○ か所 を 、 禁煙 公園 または 分煙 公園 に 指定 し て い ます 。 [UNK] 禁煙 公園 ・ 分 園 公園 一覧 ( 自治体 HP 内 関連 ページ の URL )
67,母子 手帳 の 受け取り 場所 は どこ です か ?,母子 手帳 は 、 ○ ○ 市役所 本庁 舎 △ △ 階 × × 課 窓口 、 [UNK] [UNK] 出張所 、 .........( その他 の 受け取り 場所 を 適宜 記載 )......... で 受け取れ ます 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
68,○ ○ 市 の 禁煙 公園 について 教え て ください 。,○ ○ 市 で は 園内 の 受動 喫煙 防止 対策 として 分煙 環境 を 整備 する ため 、 市立 公園 ○ か所 を 、 禁煙 公園 または 分煙 公園 に 指定 し て い ます 。 [UNK] 禁煙 公園 ・ 分 園 公園 一覧 ( 自治体 HP 内 関連 ページ の URL )
69,妊婦 健 診 や 乳児 健 診 や 乳児 健 診 等 が 受け られる ところ は あり ます か ?,妊婦 健 診 や 乳児 健 診 等 が 受け られる 市内 の 契約 医療 機関 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
70,妊婦 健 診 や 乳児 健 診 や 乳児 健 診 等 が 受け られる ところ は あり ます か ?,妊婦 健 診 や 乳児 健 診 等 が 受け られる 市内 の 契約 医療 機関 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
71,妊婦 健 診 や 乳児 健 診 や 乳児 健 診 等 が 受け られる ところ は あり ます か ?,妊婦 健 診 や 乳児 健 診 等 が 受け られる 市内 の 契約 医療 機関 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
72,( 子育て 支援 に対する 支援 センター 等 の 名称 ) の 利用 について 教え て ください 。,( 子育て 家庭 に対する 支援 を 行う センター 等 ) について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL ) < 施設 > < ところ > < 赤ちゃん > < 体重 > < スケール > < ベビー > ベビー スケール の 利用 が 常時 行える ところ は 、 ○ ○ です 。 体重 の 増え 方 に ご 心配 が ある 場合 は 、 保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
